shapeid,STATEFP,STATENS,AFFGEOID,GEOID,STUSPS,NAME,LSAD,ALAND,AWATER
0.0,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.1,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.2,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.3,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.4,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.5,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.6,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.7,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.8,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.9,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.10,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.11,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.12,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.13,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.14,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.15,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.16,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.17,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.18,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.19,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.20,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.21,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.22,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.23,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.24,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.25,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.26,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.27,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.28,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.29,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
0.30,25,00606926,0400000US25,25,MA,Massachusetts,00,20205425910,7130316321
1.0,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108,1026190438
1.1,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108,1026190438
1.2,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108,1026190438
1.3,33,01779794,0400000US33,33,NH,New Hampshire,00,23188026108,1026190438
2.0,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.1,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.2,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.3,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.4,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.5,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.6,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
2.7,09,01779780,0400000US09,09,CT,Connecticut,00,12542452026,1814924099
3.0,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.1,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.2,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.3,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.4,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.5,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.6,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.7,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.8,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.9,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.10,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.11,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
3.12,44,01219835,0400000US44,44,RI,Rhode Island,00,2677759613,1323474145
